ID	Accession	Type	Description
snoR4a	RF01301	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA snoR4a
snoR53	RF00338	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA snR53
snoR53Y	RF01279	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA snoR53Y
snoR60	RF00339	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA snoR60
snoR639	RF00291	Gene; snRNA; snoRNA; HACA-box;	Small nucleolar RNA snoR639/H1
snoR64	RF00267	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA R64/Z200 family
snoR64a	RF01163	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA snoR64a
snoR66	RF00202	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA R66
snoR69Y	RF01198	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA snoR69Y
snoR71	RF00097	Gene; snRNA; snoRNA; CD-box;	Plant small nucleolar RNA R71
snoR72	RF00208	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA R72
snoR74	RF01231	Gene; snRNA; snoRNA; HACA-box;	Small nucleolar RNA snoR74
SNOR75	RF02539	Gene; snRNA; snoRNA; CD-box;	Plant small nucleolar RNA SNOR75
snoR77	RF01230	Gene; snRNA; snoRNA; HACA-box;	Small nucleolar RNA snoR77
snoR77Y	RF01178	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA snoR77Y
snoR79	RF00323	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA R79
snoR80	RF01224	Gene; snRNA; snoRNA; HACA-box;	Small nucleolar RNA snoR80
snoR83	RF01227	Gene; snRNA; snoRNA; HACA-box;	Small nucleolar RNA snoR83
snoR86	RF00303	Gene; snRNA; snoRNA; HACA-box;	Small nucleolar RNA snoR86
snoR8a	RF01284	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA snoR8a
snoR9	RF00065	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA snoR9
snoR97	RF01215	Gene; snRNA; snoRNA; HACA-box;	Small nucleolar RNA snoR97
snoR98	RF00307	Gene; snRNA; snoRNA; HACA-box;	Small nucleolar RNA snoR98
snoR99	RF01208	Gene; snRNA; snoRNA; HACA-box;	Small nucleolar RNA snoR99
snoR9_plant	RF00348	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA snoR9
SNORA1	RF00408	Gene; snRNA; snoRNA; HACA-box;	Small nucleolar RNA SNORA1
SNORA11	RF00614	Gene; snRNA; snoRNA; HACA-box;	Small nucleolar RNA SNORA11
SNORA12	RF00586	Gene; snRNA; snoRNA; HACA-box;	Small nucleolar RNA SNORA12
SNORA13	RF00396	Gene; snRNA; snoRNA; HACA-box;	Small nucleolar RNA SNORA13
SNORA14	RF00397	Gene; snRNA; snoRNA; HACA-box;	Small nucleolar RNA SNORA14
SNORA15	RF00398	Gene; snRNA; snoRNA; HACA-box;	Small nucleolar RNA SNORA15
SNORA16	RF00190	Gene; snRNA; snoRNA; HACA-box;	Small nucleolar RNA SNORA16B/SNORA16A family
SNORA17	RF00560	Gene; snRNA; snoRNA; HACA-box;	Small nucleolar RNA SNORA17
SNORA18	RF00425	Gene; snRNA; snoRNA; HACA-box;	Small nucleolar RNA SNORA18
SNORA19	RF00413	Gene; snRNA; snoRNA; HACA-box;	Small nucleolar RNA SNORA19
SNORA2	RF00410	Gene; snRNA; snoRNA; HACA-box;	Small nucleolar RNA SNORA2/SNORA34 family
SNORA20	RF00401	Gene; snRNA; snoRNA; HACA-box;	Small nucleolar RNA SNORA20
SNORA21	RF00412	Gene; snRNA; snoRNA; HACA-box;	Small nucleolar RNA SNORA21
SNORA22	RF00414	Gene; snRNA; snoRNA; HACA-box;	Small nucleolar RNA SNORA22
SNORA23	RF00319	Gene; snRNA; snoRNA; HACA-box;	Small nucleolar RNA SNORA23
SNORA24	RF00399	Gene; snRNA; snoRNA; HACA-box;	Small nucleolar RNA SNORA24
SNORA25	RF00402	Gene; snRNA; snoRNA; HACA-box;	Small nucleolar RNA SNORA25
SNORA26	RF00568	Gene; snRNA; snoRNA; HACA-box;	Small nucleolar RNA SNORA26
SNORA27	RF00443	Gene; snRNA; snoRNA; HACA-box;	Small nucleolar RNA SNORA27
SNORA28	RF00400	Gene; snRNA; snoRNA; HACA-box;	Small nucleolar RNA SNORA28
SNORA29	RF00429	Gene; snRNA; snoRNA; HACA-box;	Small nucleolar RNA SNORA29
SNORA3	RF00334	Gene; snRNA; snoRNA; HACA-box;	Small nucleolar RNA SNORA3/SNORA45 family
SNORA30	RF00415	Gene; snRNA; snoRNA; HACA-box;	Small nucleolar RNA SNORA30/SNORA37 family
SNORA31	RF00322	Gene; snRNA; snoRNA; HACA-box;	Small nucleolar RNA SNORA31
SNORA32	RF00421	Gene; snRNA; snoRNA; HACA-box;	Small nucleolar RNA SNORA32
SNORA33	RF00438	Gene; snRNA; snoRNA; HACA-box;	Small nucleolar RNA SNORA33
SNORA35	RF00566	Gene; snRNA; snoRNA; HACA-box;	Small nucleolar RNA SNORA35
SNORA36	RF00340	Gene; snRNA; snoRNA; HACA-box;	Small nucleolar RNA SNORA36 family
SNORA38	RF00428	Gene; snRNA; snoRNA; HACA-box;	Small nucleolar RNA SNORA38
SNORA4	RF00394	Gene; snRNA; snoRNA; HACA-box;	Small nucleolar RNA SNORA4
SNORA40	RF00561	Gene; snRNA; snoRNA; HACA-box;	Small nucleolar RNA SNORA40
SNORA41	RF00403	Gene; snRNA; snoRNA; HACA-box;	Small nucleolar RNA SNORA41
SNORA42	RF00406	Gene; snRNA; snoRNA; HACA-box;	Small nucleolar RNA SNORA42/SNORA80 family
SNORA43	RF00416	Gene; snRNA; snoRNA; HACA-box;	Small nucleolar RNA SNORA43
SNORA44	RF00405	Gene; snRNA; snoRNA; HACA-box;	Small nucleolar RNA SNORA44
SNORA46	RF00404	Gene; snRNA; snoRNA; HACA-box;	Small nucleolar RNA SNORA46
SNORA47	RF01234	Gene; snRNA; snoRNA; HACA-box;	Small nucleolar RNA SNORA47
SNORA48	RF00554	Gene; snRNA; snoRNA; HACA-box;	Small nucleolar RNA SNORA48
SNORA49	RF00562	Gene; snRNA; snoRNA; HACA-box;	Small nucleolar RNA SNORA49
SNORA5	RF00392	Gene; snRNA; snoRNA; HACA-box;	Small nucleolar RNA SNORA5
SNORA50	RF00407	Gene; snRNA; snoRNA; HACA-box;	Small nucleolar RNA SNORA50
SNORA51	RF00432	Gene; snRNA; snoRNA; HACA-box;	Small nucleolar RNA SNORA51
SNORA52	RF00419	Gene; snRNA; snoRNA; HACA-box;	Small nucleolar RNA SNORA52
SNORA53	RF00563	Gene; snRNA; snoRNA; HACA-box;	Small nucleolar RNA SNORA53
SNORA54	RF00430	Gene; snRNA; snoRNA; HACA-box;	Small nucleolar RNA SNORA54
SNORA55	RF00431	Gene; snRNA; snoRNA; HACA-box;	Small nucleolar RNA SNORA55
SNORA56	RF00417	Gene; snRNA; snoRNA; HACA-box;	Small nucleolar RNA SNORA56
SNORA57	RF00191	Gene; snRNA; snoRNA; HACA-box;	Small nucleolar RNA SNORA57
SNORA58	RF00418	Gene; snRNA; snoRNA; HACA-box;	Small nucleolar RNA SNORA58
SNORA61	RF00420	Gene; snRNA; snoRNA; HACA-box;	Small nucleolar RNA SNORA61
SNORA62	RF00091	Gene; snRNA; snoRNA; HACA-box;	Small nucleolar RNA SNORA62/SNORA6 family
SNORA63	RF00092	Gene; snRNA; snoRNA; HACA-box;	Small nucleolar RNA SNORA63
SNORA64	RF00264	Gene; snRNA; snoRNA; HACA-box;	Small nucleolar RNA SNORA64/SNORA10 family
SNORA65	RF00302	Gene; snRNA; snoRNA; HACA-box;	Small nucleolar RNA SNORA65
SNORA66	RF00155	Gene; snRNA; snoRNA; HACA-box;	Small nucleolar RNA SNORA66
SNORA67	RF00272	Gene; snRNA; snoRNA; HACA-box;	Small nucleolar RNA SNORA67
SNORA68	RF00263	Gene; snRNA; snoRNA; HACA-box;	Small nucleolar RNA SNORA68
SNORA69	RF00265	Gene; snRNA; snoRNA; HACA-box;	Small nucleolar RNA SNORA69
SNORA7	RF00409	Gene; snRNA; snoRNA; HACA-box;	Small nucleolar RNA SNORA7
SNORA70	RF00156	Gene; snRNA; snoRNA; HACA-box;	Small nucleolar RNA SNORA70
SNORA71	RF00056	Gene; snRNA; snoRNA; HACA-box;	Small nucleolar RNA SNORA71
SNORA72	RF00139	Gene; snRNA; snoRNA; HACA-box;	Small nucleolar RNA SNORA72
SNORA73	RF00045	Gene; snRNA; snoRNA; HACA-box;	Small nucleolar RNA SNORA73 family
SNORA74	RF00090	Gene; snRNA; snoRNA; HACA-box;	Small nucleolar RNA SNORA74
SNORA75	RF00072	Gene; snRNA; snoRNA; HACA-box;	Small nucleolar RNA SNORA75
SNORA76	RF00598	Gene; snRNA; snoRNA; HACA-box;	Small nucleolar RNA SNORA76
SNORA77	RF00599	Gene; snRNA; snoRNA; HACA-box;	Small nucleolar RNA SNORA77
SNORA79	RF00600	Gene; snRNA; snoRNA; HACA-box;	Small nucleolar RNA SNORA79
SNORA8	RF00393	Gene; snRNA; snoRNA; HACA-box;	Small nucleolar RNA SNORA8
SNORA81	RF01241	Gene; snRNA; snoRNA; HACA-box;	Small nucleolar RNA SNORA81
SNORA84	RF01229	Gene; snRNA; snoRNA; HACA-box;	Small nucleolar RNA SNORA84
SNORA9	RF00411	Gene; snRNA; snoRNA; HACA-box;	Small nucleolar RNA SNORA9
SNORD10	RF01290	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA SNORD10
SNORD100	RF00609	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA SNORD100
SNORD101	RF00186	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA SNORD101
SNORD102	RF00187	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA SNORD102
SNORD103	RF00188	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA SNORD103/SNORD85
SNORD105	RF00584	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA SNORD105
SNORD107	RF01164	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA SNORD107
SNORD108	RF01158	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA SNORD108
SNORD109A	RF01278	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA SNORD109A
SNORD11	RF01182	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA SNORD11
SNORD110	RF00610	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA SNORD110
SNORD111	RF00611	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA SNORD111
SNORD112	RF01169	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA SNORD112
SNORD113	RF00181	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA SNORD113/SNORD114 family
SNORD115	RF00105	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA SNORD115
SNORD116	RF00108	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA SNORD116
SNORD11B	RF01192	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA SNORD11B
SNORD12	RF00581	Gene; snRNA; snoRNA; CD-box;	Small nucleolar SNORD12/SNORD106
SNORD121A	RF01191	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA SNORD121A
SNORD123	RF01156	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA SNORD123
SNORD124	RF01211	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA SNORD124
SNORD125	RF01200	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA SNORD125
SNORD126	RF01168	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA SNORD126
SNORD127	RF01186	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA SNORD127
SNORD14	RF00016	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA SNORD14
SNORD15	RF00067	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA SNORD15
SNORD16	RF00138	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA SNORD16
SNORD17	RF00567	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA SNORD17
SNORD18	RF00093	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA SNORD18
SNORD19	RF00569	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA SNORD19
SNORD19B	RF01183	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA SNORD19B
SNORD2	RF01299	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA SNORD2
SNORD20	RF00217	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA SNORD20
SNORD21	RF00068	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA SNORD21
SNORD22	RF00099	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA SNORD22
SNORD23	RF00603	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA SNORD23
SNORD24	RF00069	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA SNORD24
SNORD25	RF00054	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA SNORD25
SNORD26	RF00087	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA SNORD26
SNORD27	RF00086	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA SNORD27
SNORD28	RF00085	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA SNORD28
SNORD29	RF00070	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA SNORD29
SNORD30	RF00088	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA SNORD30
SNORD31	RF00089	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA SNORD31
SNORD33	RF00133	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA Z195/SNORD33/SNORD32 family
SNORD34	RF00147	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA SNORD34
SNORD35	RF00211	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA SNORD35
SNORD36	RF00049	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA SNORD36
SNORD37	RF00440	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA SNORD37
SNORD38	RF00212	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA SNORD38
SNORD39	RF00157	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA SNORD55/SNORD39
SNORD41	RF00588	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA SNORD41
SNORD42	RF00150	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA SNORD42
SNORD43	RF00221	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA SNORD43
SNORD44	RF00287	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA SNORD44
SNORD45	RF00279	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA SNORD45
SNORD46	RF00218	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA SNORD46
SNORD47	RF00281	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA SNORD47
SNORD48	RF00282	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA SNORD48
SNORD49	RF00277	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA SNORD49
SNORD5	RF01161	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA SNORD5
SNORD50	RF00278	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA SNORD50
SNORD51	RF00280	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA SNORD51
SNORD52	RF00276	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA SNORD52
SNORD53_SNORD92	RF00325	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA SNORD53/SNORD92
SNORD56	RF00275	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA SNORD56
SNORD57	RF00274	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA SNORD57
SNORD58	RF00151	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA SNORD58
SNORD59	RF00273	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA SNORD59
SNORD60	RF00271	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA SNORD60
SNORD61	RF00270	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA SNORD61
SNORD62	RF00153	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA SNORD62
SNORD63	RF00154	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA SNORD63
SNORD64	RF00570	Gene; snRNA; snoRNA; CD-box;	Small Nucleolar RNA SNORD64
SNORD65	RF00571	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA SNORD65
SNORD66	RF00572	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA SNORD66
SNORD67	RF00573	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA SNORD67
SNORD69	RF00574	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA SNORD69
SNORD70	RF00575	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA SNORD70
SNORD71	RF00576	Gene; snRNA; snoRNA; HACA-box;	Small nucleolar RNA SNORD71
SNORD72	RF00577	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA SNORD72
SNORD73	RF00071	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA SNORD73
SNORD74	RF00284	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA SNORD74
SNORD75	RF00612	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA SNORD75
SNORD77	RF00591	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA SNORD77
SNORD78	RF00592	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA SNORD78
SNORD79	RF00152	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA SNORD79
SNORD81	RF00136	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA SNORD81
SNORD82	RF00158	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA SNORD82
SNORD83	RF00137	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA SNORD83
SNORD86	RF00594	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA SNORD86
SNORD87	RF00439	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA SNORD87
SNORD88	RF00604	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA SNORD88
SNORD89	RF00578	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA SNORD89
SNORD90	RF00579	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA SNORD90
SNORD91	RF00580	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA SNORD91 family
SNORD93	RF00606	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA SNORD93
SNORD94	RF00613	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA SNORD94
SNORD95	RF00189	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA SNORD95
SNORD96	RF00055	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA SNORD96 family
SNORD97	RF01291	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA SNORD97
SNORD98	RF00607	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA SNORD98
SNORD99	RF00608	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA SNORD99
snoRNA2	RF02785	Gene; snRNA; snoRNA; CD-box;	Trypanosomatid small nucleolar RNA 2
SNORND104	RF00289	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA SNORD104
snosnR48	RF00471	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA snR48
snosnR54	RF00473	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA snR54
snosnR55	RF00472	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA snR55/Z10
snosnR57	RF00474	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA snR57
snosnR60_Z15	RF00309	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA snR60/Z15/Z230/Z193/J17
snosnR61	RF00476	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA snR61/Z1/Z11
snosnR64	RF00509	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA snR64
snosnR66	RF00477	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA snR66
snosnR69	RF00475	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA snR69
snosnR71	RF00479	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA snR71
snoTBR12	RF02789	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA TBR12
snoTBR17	RF00294	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA TBR17
snoTBR2	RF02786	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA TBR2
snoTBR4	RF02787	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA TBR4
snoTBR5	RF00292	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA TBR5
snoTBR6	RF02788	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA TBR6
snoTBR7	RF00295	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA TBR7
snoU105B	RF01173	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA U105B
snoU109	RF01233	Gene; snRNA; snoRNA; HACA-box;	Small nucleolar RNA U109
snoU13	RF01210	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA U13
snoU18	RF01159	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA U18
snoU19	RF01236	Gene; snRNA; snoRNA; HACA-box;	Small nucleolar RNA U19
snoU2-30	RF00493	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA U2-30
snoU25	RF01298	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA U25
snoU2_19	RF00494	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA U2-19
snoU30	RF01283	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA U30
snoU31b	RF01285	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA U31b
snoU36a	RF01302	Gene; snRNA; snoRNA; CD-box;	SnoRNA U36a
snoU43	RF01174	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA U43
snoU49	RF01300	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA U49
snoU54	RF01277	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA U54
snoU6-47	RF01221	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA U6-47
snoU6-53	RF00377	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA U6-53/MBII-28
snoU61	RF01170	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA U61
snoU82P	RF01151	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA U82P
snoU83	RF01179	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA U83
snoU83B	RF00593	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA U83B
snoU83D	RF01175	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA U83
snoU85	RF01296	Gene; snRNA; snoRNA; HACA-box;	Small nucleolar RNA U85
snoU89	RF01294	Gene; snRNA; snoRNA; HACA-box;	Small nucleolar RNA U89
snoZ101	RF00358	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA Z101
snoZ102_R77	RF00359	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA Z102/R77
snoZ103	RF00149	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA Z103
snoZ105	RF00145	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA Z105
snoZ107_R87	RF00360	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA Z107/R87
snoZ112	RF00337	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA Z112
snoZ118	RF00142	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA Z118/Z121/Z120
snoZ119	RF00361	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA Z119
snoZ122	RF00343	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA Z122
snoZ13_snr52	RF00335	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA Z13/snr52
snoZ152	RF00350	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA Z152/R70/R12/
snoZ155	RF00326	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA Z155
snoZ157	RF00333	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA Z157/R69/R10
snoZ159	RF00160	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA Z159/U59
snoZ161_228	RF00328	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA Z161/Z228
snoZ162	RF00329	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA Z162
snoZ163	RF00317	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA Z163/Z177 family
snoZ165	RF00310	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA Z165
snoZ168	RF00159	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA Z168/Z174
snoZ169	RF00331	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA Z169
snoZ17	RF00266	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA Z17
snoZ173	RF00313	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA Z173
snoZ175	RF00318	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA Z175
snoZ178	RF00306	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA Z178
snoZ182	RF00314	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA Z182
snoZ185	RF00320	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA Z185
snoZ188	RF00311	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA Z188
snoZ194	RF00327	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA Z194
snoZ196	RF00134	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA Z196/R39/R59 family
snoZ199	RF00200	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA Z199
snoZ206	RF00312	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA Z206
snoZ221_snoR21b	RF00300	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA Z221/R21b
snoZ223	RF00135	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA Z223
snoZ242	RF00441	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA Z242
snoZ247	RF00321	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA Z247
snoZ248	RF00305	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA Z248
snoZ256	RF00301	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA Z256
snoZ266	RF00332	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA Z266
snoZ267	RF00344	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA Z267
snoZ278	RF00201	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA Z278
snoZ279_R105_R108	RF00304	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA Z279/snoR105/snoR108
snoZ30	RF00288	Gene; snRNA; snoRNA; CD-box;	Z30 small nucleolar RNA
snoZ30a	RF01196	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA Z30a
snoZ39	RF00341	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA Z39
snoZ40	RF00342	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA Z40
snoZ43	RF00330	Gene; snRNA; snoRNA; CD-box;	Small nucleolar RNA Z43
